ssps,ownerName,ownerScreenId,venueTypes,locationType,country,state,dma,city,zip,adTypes,resolutions,durations,screenName,facing,link,address,avgDwellTime,avgImpressionMultiplier,avgWeeklyImpressions,avgCpm,restrictions,lat,lng,count
Place Exchange,Clear Channel Outdoor Brazil,RIO56,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22279,"Image, Silent Video",400x600,10,,,,Rua Voluntarios Da Patria Em Frente Ao Nr 354,,1.0,343089,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9549,-43.1942,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO91,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22441,"Image, Silent Video",400x600,10,,,,Avenida Delfim Moreira Esquina Com Avenida Bartolomeu Mitres,,1.0,574614,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.987,-43.2222,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO64,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,20269,"Image, Silent Video",400x600,10,,,,Avenida Radial Oeste Esquina Com Rua Paulo Fernandes,,1.0,881432,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9107,-43.215,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO71,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22420,"Image, Silent Video",400x600,10,,,,Vieira Souto / Aníbal Mendonça,,1.0,484771,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9862,-43.2115,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO12,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22020,"Image, Silent Video",400x600,10,,,,Avenida N Sra Copacabana Esquina Com Rua Inhangá,,1.0,409194,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9671,-43.1815,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO22,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22470,"Image, Silent Video",400x600,10,,,,"Avenida Borges De Medeiros, Em Frente Ao 3193",,1.0,398206,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.962651,-43.211251,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO40,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22407,"Image, Silent Video",400x600,10,,,,Avenida Borges De Medeiros Em Frente Ao Clube Monte Libano,,1.0,574614,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9804,-43.2148,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO57,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22279,"Image, Silent Video",400x600,10,,,,Rua Humaita - Canteiro Central - Em Frente Ao Nr 296,,1.0,343089,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.96,-43.2024,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO62,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,20269,"Image, Silent Video",400x600,10,,,,Avenida Rio Branco Com Avenida Presidente Wilson / Praca M. Ghandi,,1.0,343089,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9131,-43.175,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO34,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22471,"Image, Silent Video",400x600,10,,,,Avenida Epitacio Pessoa Na Curva Do Calombo,,1.0,596268,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9729,-43.2081,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO27,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22279,"Image, Silent Video",400x600,10,,,,Avenida Nacoes Unidas / Rua Voluntarios Da Patria,,1.0,748792,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.950186,-43.181356,N/A
Place Exchange,Clear Channel Outdoor Brazil,RDJ05,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22470,"Image, Silent Video",400x600,10,,,,Rua Santa Luzia Com Avenida Graça Aranha,,21.8253968253968,220000,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9748,-43.2268,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO75,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22440,"Image, Silent Video",400x600,10,,,,Avenida Vieira Souto Em Frente Ao Country Club,,1.0,574614,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.984865,-43.225087,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO80,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22450,"Image, Silent Video",400x600,10,,,,Avenida Niemeyer Em Frente Ao Hotel Sheraton,,1.0,484771,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.992,-43.2337,N/A
Place Exchange,Clear Channel Outdoor Brazil,RIO43,Urban Panels,Outdoor,Brazil,Rio De Janeiro,5 - Grande Rio De Janeiro,Rio De Janeiro,22470,"Image, Silent Video",400x600,10,,,,Avenida Borges De Medeiros Em Frente Ao Parque Brigadeiro Faria Lima,,1.0,660882,5.0,"Cigars, Pornography, Sexuality, Politics, Illegal Content, Law, Government, & Politics",-22.9723,-43.2176,N/A
